name,lat,lng,category,mode,dist,time
Café y Chocolate,39.924584,-75.1726758,restaurant,transit,-1.0,15.0
Bistrot La Minette,39.941312,-75.15229599999998,restaurant,transit,-1.0,14.0
Baby Blues BBQ Philly,39.95348900000001,-75.192441,restaurant,transit,-1.0,11.0
Bonchon Philadelphia,39.95450199999999,-75.15699000000002,restaurant,transit,-1.0,13.0
The Black Sheep Pub & Restaurant,39.9484223,-75.1692901,restaurant,transit,-1.0,2.0
PrimoHoagies,39.95236269999999,-75.1750177,restaurant,transit,-1.0,6.0
FARMiCiA,39.9497062,-75.145652,restaurant,transit,-1.0,15.0
Mama's Vegetarian,39.9526891,-75.17347939999998,restaurant,transit,-1.0,6.0
Pattaya Thai Cuisine,39.9555484,-75.2026616,restaurant,transit,-1.0,14.0
Honey's Sit 'N Eat,39.94519469999999,-75.1770879,restaurant,transit,-1.0,9.0
Fado Irish Pub,39.9483519,-75.16634470000002,restaurant,transit,-1.0,4.0
Hawthornes,39.94102309999999,-75.16085609999998,restaurant,transit,-1.0,12.0
Entree BYOB,39.944008,-75.169139,restaurant,transit,-1.0,6.0
