,name,lat,lng,category,mode,dist,time
148,Chestnut Hill Friends Meeting Skyspace,40.0683476,-75.1961469,entertainment,bicycle,1.25,10.78
149,Lest We Forget Museum of Slavery,40.03440620000001,-75.17190029999998,entertainment,bicycle,1.92,14.77
150,Awbury Arboretum,40.0505556,-75.1680556,entertainment,bicycle,1.79,14.3
151,Wissahickon Valley Park,40.056210799999995,-75.21733100000002,entertainment,bicycle,2.0,14.9
152,Rittenhouse Town Homestead,40.0296631,-75.1904804,entertainment,bicycle,2.18,14.85
153,Thomas Mansion,40.0348149,-75.190073,entertainment,bicycle,1.55,10.57
154,The Undercover Unit,40.04072,-75.17701600000002,entertainment,bicycle,1.52,11.73
155,Lovett Park,40.0567982,-75.18768829999998,entertainment,bicycle,0.32,3.65
156,Johnson House Historic Site,40.0433454,-75.1812599,entertainment,bicycle,1.1,8.57
157,Ned Wolf Park,40.049055700000004,-75.19650250000002,entertainment,bicycle,0.65,5.87
158,Gorgas Creek Cave,40.043311300000006,-75.2127618,entertainment,bicycle,1.83,12.45
159,Historic RittenhouseTown,40.029692600000004,-75.1905736,entertainment,bicycle,2.18,14.88
160,Wissahickon Valley Park,40.056210799999995,-75.21733100000002,entertainment,bicycle,2.0,14.9
161,Glen Fern,40.0494281,-75.2132821,entertainment,bicycle,1.6,10.88
162,Toleration Statue,40.0353349,-75.19971290000002,entertainment,bicycle,1.84,14.05
163,Chew and Phil Ellena,40.055958,-75.181348,commercial,transit,-1.0,10.0
164,Germantown/Roumfort-Gorgas,40.0597,-75.189899,commercial,transit,-1.0,7.0
165,Pelham Plaza,40.043054,-75.19034,commercial,transit,-1.0,10.0
166,Carpenter/McCallum-Sherman,40.046379,-75.1956,commercial,transit,-1.0,8.0
167,Germantown/Upsal-High,40.042776,-75.17989,commercial,transit,-1.0,11.0
168,Germantown/Gorgas-Upsal,40.052256,-75.185148,commercial,transit,-1.0,7.0
171,Mount Pleasant/Cresheim-Emlen,40.0544,-75.194295,commercial,transit,-1.0,4.0
173,Stenton and Mt. Airy,40.06882,-75.180888,commercial,transit,-1.0,10.0
176,HENRY H. HOUSTON SCHOOL,40.0591252651313,-75.194819995356,schools,transit,-1.0,8.0
178,CHARLES W. HENRY SCHOOL,40.0462577099047,-75.1965877592889,schools,transit,-1.0,8.0
181,Mt. Pleasant Medical Center,40.067482,-75.179305,medical,transit,-1.0,9.0
182,Lovett Park,40.056119,-75.18740799999998,recreation,transit,-1.0,6.0
187,Ned Wolf Park,40.048875,-75.196575,recreation,transit,-1.0,5.0
189,Allens Lane Art Center,40.051671,-75.202177,recreation,transit,-1.0,8.0
190,Mount Airy Playground,40.057999,-75.187871,recreation,transit,-1.0,6.0
195,Daniel E Rumph II Recreation Center,40.04779600000001,-75.18007,recreation,transit,-1.0,11.0
197,Pleasant Playground,40.056566,-75.182799,recreation,transit,-1.0,9.0
198,Family Dollar,40.043985600000006,-75.19074300000003,supermarket,transit,-1.0,10.0
200,Weavers Way Co-op,40.0465657,-75.1960213,supermarket,transit,-1.0,8.0
206,Mi Puebla Restaurant & Bakery,40.05994739999999,-75.190747,restaurant,transit,-1.0,6.0
207,Mermaid Inn,40.0679852,-75.19678499999998,restaurant,transit,-1.0,10.0
212,CinCin Restaurant,40.0691943,-75.1998158,restaurant,transit,-1.0,10.0
218,Tiffin Indian Cuisine Mt Airy,40.053028999999995,-75.195697,restaurant,transit,-1.0,3.0
220,Earth Bread + Brewery,40.0591514,-75.1904672,restaurant,transit,-1.0,6.0
222,Toto's Pizzeria,40.0435829,-75.19069669999998,restaurant,transit,-1.0,10.0
223,High Point Cafe,40.057516899999996,-75.19462370000002,restaurant,transit,-1.0,6.0
225,China Garden Restaurant,40.06701339999999,-75.1780335,restaurant,transit,-1.0,10.0
